"name","description","origin_region"
"Зинфандель","Красный сорт, производящий вина с высоким содержанием алкоголя и фруктовыми нотами.","Калифорния, США"
"Неббиоло","Красный сорт, используемый для производства танинных вин с яркой кислотностью и ароматами розы, вишни и специй.","Пьемонт, Италия"
"Санджовезе","Красный сорт, основной компонент вин Чьянти, с кислотными и фруктовыми нотами.","Тоскана, Италия"
"Темпранильо","Красный сорт, основной сорт для испанских вин, с ароматами красных фруктов, ванили и табака.","Рибера-дель-Дуэро, Испания"
"Монтепульчано","Красный сорт, производящий вина с мягкими танинами и фруктовыми нотами.","Абруццо, Италия"
"Гарнача","Красный сорт, часто используемый в блендах, с фруктовыми и специальными нотами.","Рибера-дель-Дуэро, Испания"
"Марсельезе","Белый сорт, используемый в блендах, придающий винам свежесть и кислотность.","Рона, Франция"
"Туркет","Белый сорт, используемый в блендах, придающий винам фруктовые ноты и округлость.","Прованс, Франция"
"Мускард","Белый сорт, используемый для производства сладких вин с ароматами меда и фруктов.","Бордо, Франция"
"Паломино","Белый сорт, используемый для производства хереса, с нейтральным вкусом и высокой кислотностью.","Андалусия, Испания"
"Мосхолия","Белый сорт, используемый для производства сладких вин с ароматами меда и специй.","Греция"
"Вердехо","Белый сорт, производящий вина с яркой кислотностью и фруктовыми нотами.","Рибера-дель-Дуэро, Испания"
"Алиготе","Белый сорт, производящий сухие вина с яркой кислотностью и минеральными нотами.","Бургундия, Франция"
"Асир","Красный сорт, используемый для производства танинных вин с ароматами темных фруктов.","Пьемонт, Италия"
"Барбера","Красный сорт, производящий вина с высокой кислотностью и фруктовыми нотами.","Пьемонт, Италия"
"Корвина","Красный сорт, используемый в производстве вала, с ароматами вишни и специй.","Венето, Италия"
"Кортезе","Белый сорт, производящий легкие, сухие вина с фруктовыми и цветочными нотами.","Пьемонт, Италия"
"Дольчетто","Красный сорт, производящий мягкие вина с фруктовыми нотами.","Пьемонт, Италия"
"Фиано","Белый сорт, производящий вина с ореховыми и медовыми нотами.","Кампания, Италия"
"Греко","Белый сорт, производящий вина с минеральными и фруктовыми нотами.","Кампания, Италия"
"Импенилья","Красный сорт, используемый в блендах, придающий винам структуру и танины.","Дору, Португалия"
"Руфете","Красный сорт, используемый в блендах, придающий винам фруктовость и свежесть.","Дору, Португалия"
"Тинта Баррока","Красный сорт, используемый в блендах, придающий винам цвет и аромат.","Дору, Португалия"
"Тинта Као","Красный сорт, используемый в блендах, придающий винам танины и структуру.","Дору, Португалия"
"Тинта Рориз","Красный сорт, также известный как Темпранильо, придающий винам фруктовые и специальные ноты.","Дору, Португалия"
"Верделхо","Белый сорт, используемый для производства портвейна, с фруктовыми и медовыми нотами.","Мадейра, Португалия"
"Бага","Красный сорт, используемый в производстве вина Бага, с высокой кислотностью и танинами.","Бейра-Алта, Португалия"
"Каим","Белый сорт, используемый для производства сухих вин с минеральными нотами.","Дору, Португалия"
"Москатель","Белый сорт, используемый для производства сладких и игристых вин с ароматами цветов и фруктов.","Португалия"
"Арагонеш","Красный сорт, производящий вина с фруктовыми и специальными нотами.","Алентежу, Португалия"
"Трахема","Белый сорт, используемый в блендах, придающий винам свежесть и кислотность.","Алентежу, Португалия"
"Альвариньо","Белый сорт, производящий вина с высокой кислотностью и цитрусовыми нотами.","Галисия, Испания"
"Гарнача Бланка","Белый сорт, производящий сухие вина с фруктовыми и цветочными нотами.","Рибера-дель-Дуэро, Испания"
"Москател","Белый сорт, используемый для производства сладких и игристых вин с ароматами цветов и фруктов.","Андалусия, Испания"
"Педро Хименес","Белый сорт, используемый для производства сладких вин с ароматами изюма и меда.","Андалусия, Испания"
"Монестрель","Красный сорт, также известный как Мурведр, производящий танинные вина с фруктовыми нотами.","Мурсия, Испания"
"Пикауди","Белый сорт, используемый в блендах, придающий винам минеральность и кислотность.","Прованс, Франция"
"Тирамису","Красный сорт, используемый в блендах, придающий винам структуру и фруктовые ноты.","Пьемонт, Италия"
"Цвайгельт","Красный сорт, производящий мягкие вина с фруктовыми нотами.","Австрия"
"Гаме","Красный сорт, производящий легкие вина с фруктовыми нотами.","Божоле, Франция"
"Мансенг","Белый сорт, используемый для производства сладких вин с ароматами экзотических фруктов.","Юго-Запад Франции"
"Пти Мансенг","Белый сорт, используемый для производства сладких вин с ароматами тропических фруктов.","Юго-Запад Франции"
"Колумбард","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Калифорния, США"
"Вердеху","Белый сорт, производящий вина с высокой кислотностью и цитрусовыми нотами.","Галисия, Испания"
"Ансоника","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Андалусия, Испания"
"Педраль","Белый сорт, используемый для производства сухих вин с минеральными нотами.","Галисия, Испания"
"Лурише","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Альварадейру","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Араонел","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Као Верде","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Трахадура","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Видал","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Альваринью","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Фернан Пинес","Белый сорт, используемый для производства вин с фруктовыми и цветочными нотами.","Минью, Португалия"
"Эспадейру","Красный сорт, используемый в блендах, придающий винам цвет и танины.","Минью, Португалия"
"Бастардо","Красный сорт, используемый в блендах, придающий винам структуру и танины.","Дору, Португалия"
"Камарау","Красный сорт, используемый в блендах, придающий винам фруктовость и свежесть.","Дору, Португалия"
"Торронтес","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Аргентина"
"Мальбок","Красный сорт, используемый в блендах, придающий винам цвет и аромат.","Аргентина"
"Бонада","Красный сорт, используемый в блендах, придающий винам фруктовость и свежесть.","Аргентина"
"Шарон","Красный сорт, используемый в блендах, придающий винам структуру и танины.","Аргентина"
"Марцелан","Красный сорт, родственный Каберне Совиньон, производящий вина с мягкими танинами и фруктовыми нотами.","Франция"
"Таннат","Красный сорт, производящий танинные вина с фруктовыми нотами.","Юго-Запад Франции"
"Пти Арвин","Белый сорт, производящий вина с фруктовыми и минеральными нотами.","Савойя, Франция"
"Жакер","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Савойя, Франция"
"Альянсон","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Бургундия, Франция"
"Коломбан","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Лангедок, Франция"
"Мускарден","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Лангедок, Франция"
"Гро Мансенг","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Юго-Запад Франции"
"Шасла","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Швейцария"
"Амадор","Красный сорт, производящий вина с фруктовыми и специальными нотами.","Калифорния, США"
"Блек Ментелль","Красный сорт, производящий вина с фруктовыми и цветочными нотами.","Калифорния, США"
"Брунелло","Красный сорт, родственный Санджовезе, производящий танинные вина.","Тоскана, Италия"
"Канайоло","Красный сорт, используемый в блендах, придающий винам фруктовость и округлость.","Тоскана, Италия"
"Чилликеа","Красный сорт, используемый в блендах, придающий винам структуру и танины.","Пьемонт, Италия"
"Фронтенак","Красный сорт, производящий вина с фруктовыми и специальными нотами.","Канада"
"Гамай","Красный сорт, родственный Гаме, производящий легкие вина.","Божоле, Франция"
"Гриньолино","Красный сорт, производящий легкие вина с фруктовыми нотами.","Пьемонт, Италия"
"Ламбруско","Красный сорт, используемый для производства игристых вин.","Эмилия-Романья, Италия"
"Монтепульчано д'Абруццо","Красный сорт, производящий вина с мягкими танинами и фруктовыми нотами.","Абруццо, Италия"
"Нерелло Маскалезе","Красный сорт, производящий вина с фруктовыми и минеральными нотами.","Сицилия, Италия"
"Пассерина","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Марке, Италия"
"Пьедироссо","Красный сорт, производящий вина с фруктовыми и минеральными нотами.","Корсика, Франция"
"Примитиво","Красный сорт, родственный Зинфандель, производящий вина с высоким содержанием алкоголя.","Пулья, Италия"
"Рухе","Красный сорт, производящий вина с фруктовыми и специальными нотами.","Германия"
"Сильванер","Белый сорт, производящий вина с фруктовыми и минеральными нотами.","Германия"
"Траминер","Белый сорт, родственный Гевюрцтраминер, производящий вина с фруктовыми и цветочными нотами.","Германия"
"Бьянкелло","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Марке, Италия"
"Бьянко","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Италия"
"Бьянко Веронезе","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Венето, Италия"
"Бьянко ди Пассо","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Сицилия, Италия"
"Бьянко Сичильяно","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Сицилия, Италия"
"Бьянко Тоскано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Тоскана, Италия"
"Бьянко Фриулиано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Фриули, Италия"
"Бьянко Ломбардо","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Ломбардия, Италия"
"Бьянко Пьемонтезе","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Пьемонт, Италия"
"Бьянко Сардинский","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Сардиния, Италия"
"Бьянко Сицилиано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Сицилия, Италия"
"Бьянко Трентино","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Трентино, Италия"
"Бьянко Умбриано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Умбрия, Италия"
"Бьянко Вальполичелла","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Венето, Италия"
"Бьянко Винчиано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Тоскана, Италия"
"Бьянко Эмилиано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Эмилия-Романья, Италия"
"Бьянко Лациале","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Лацио, Италия"
"Бьянко Кампаниано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Кампания, Италия"
"Бьянко Апулиано","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Апулия, Италия"
"Бьянко Калабрийский","Белый сорт, производящий вина с фруктовыми и цветочными нотами.","Калабрия, Италия"